n   T(n)    Tn/log2(n)   A(n)       A(n)/log2(n)
50   8      1.4174706    4.1568627    0.7365288
51   7      1.2340400    4.2500000    0.7492386
52   7      1.2279754    4.0943398    0.7182498
53   7      1.2220840    4.7777777    0.8341208
54   6      1.0425920    4.0363636    0.7013801
55   9      1.5567272    4.2678571    0.7382099
56   7      1.2053680    3.9122808    0.6736769
57   7      1.2000912    4.3103447    0.7389724
58   7      1.1949509    4.4067798    0.7522694
59   7      1.1899413    4.8499999    0.8244593
60   8      1.3543506    3.8852458    0.6577481
61   7      1.1802917    4.8709679    0.8213090
62   7      1.1756414    4.5396824    0.7624341
63   7      1.1711012    4.2656250    0.7136398
64   8      1.3333334    4.3538461    0.7256410
65   8      1.3283812    4.3939395    0.7296033
66   8      1.3235404    4.1194029    0.6815246
67   8      1.3188069    4.8676472    0.8024358
68   8      1.3141764    4.4782610    0.7356531
69   8      1.3096453    4.5714288    0.7483687
70   7      1.1420585    4.1408453    0.6755840
71   8      1.3008666    5.0138888    0.8153000
72   7      1.1345357    3.9863014    0.6460859
73   8      1.2924438    4.9729729    0.8034109
74   8      1.2883581    4.7466664    0.7644258
75   8      1.2843527    4.4605265    0.7161111
76   9      1.4404776    4.4805193    0.7171209
77   7      1.1169999    4.6153846    0.7364835
78   7      1.1136917    4.3291140    0.6887569
79   9      1.4277147    5.1125002    0.8110213
80   9      1.4236163    4.2345681    0.6698223
81   9      1.4195919    4.6097560    0.7271081
82   8      1.2583460    4.7710843    0.7504593
83   8      1.2548941    5.1309524    0.8048503
84   7      1.0950645    4.1999998    0.6570387
85   8      1.2481685    4.6976743    0.7329361
86   8      1.2448912    4.8505745    0.7548047
87   8      1.2416685    4.8068180    0.7460593
88   8      1.2384990    4.5280900    0.7010044
89   10      1.5442266    5.1999998    0.8029978
90   7      1.0782745    4.1758242    0.6432407
91   8      1.2292950    4.7500000    0.7298939
92   8      1.2263240    4.6129031    0.7071142
93   8      1.2233989    4.8510637    0.7418483
94   8      1.2205189    4.8631577    0.7419471
95   8      1.2176827    4.9479165    0.7531241
96   7      1.0630281    4.4020619    0.6685022
97   9      1.3636544    5.2244897    0.7915998
98   8      1.2094257    4.8080807    0.7268770
99   8      1.2067536    4.6300001    0.6984087
100   8      1.2041200    4.5247526    0.6810431
950   12      1.2131280    6.4837012    0.6554633
951   12      1.2129419    6.9233193    0.6997986
952   12      1.2127560    6.3452258    0.6412676
953   13      1.3136179    7.2494760    0.7325417
954   12      1.2123851    6.4544501    0.6521066
955   12      1.2121999    6.9382844    0.7008823
956   13      1.3130164    6.7931032    0.6861120
957   12      1.2118305    6.6409187    0.6706390
958   12      1.2116461    6.9217935    0.6988970
959   13      1.3124171    7.0156250    0.7082636
960   12      1.2112781    6.0926118    0.6149873
961   13      1.3120190    7.0914760    0.7157040
962   12      1.2109112    6.6998963    0.6760816
963   12      1.2107280    6.8080912    0.6868955
964   13      1.3114239    6.8113990    0.6871255
965   13      1.3112261    6.9689441    0.7029124
966   12      1.2101802    6.3102379    0.6363770
967   12      1.2099980    7.2489672    0.7309363
968   12      1.2098161    6.5541797    0.6607793
969   12      1.2096344    6.6680412    0.6721576
970   12      1.2094530    6.6611738    0.6713647
971   13      1.3100444    7.2623458    0.7318459
972   12      1.2090908    6.3484068    0.6396500
973   12      1.2089101    6.9815197    0.7033358
974   12      1.2087296    6.9641027    0.7014765
975   12      1.2085495    6.4497952    0.6495747
976   11      1.1076720    6.6601844    0.6706636
977   13      1.3088722    7.2556238    0.7305142
978   12      1.2080102    6.6639428    0.6708426
979   13      1.3084835    7.0581632    0.7104223
980   12      1.2076520    6.2762489    0.6316270
981   12      1.2074732    6.8248472    0.6867350
982   12      1.2072946    6.9888096    0.7031294
